City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Padang,ID,75.25,light rain,-0.9492,100.3543,Mercure Padang
3,Alyangula,AU,85.41,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
4,Ouro Preto Do Oeste,BR,79.7,overcast clouds,-10.7481,-62.2158,Graúna Resort Hotel
14,Road Town,VG,80.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
15,Pasni,PK,79.25,clear sky,25.2631,63.471,Kashmiri Hotal
20,Hambantota,LK,77.04,moderate rain,6.1241,81.1185,Bungalow 63
24,Cabo San Lucas,MX,82.62,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
25,Atuona,PF,78.08,clear sky,-9.8,-139.0333,Villa Enata
26,Clarence Town,AU,78.62,light rain,-32.5833,151.7833,River Downs Cottage
33,Olinda,BR,78.53,mist,-8.0089,-34.8553,Flat Quatro Rodas Olinda
42,San-Pedro,CI,77.72,broken clouds,4.7485,-6.6363,Hotel Maria
43,Kulhudhuffushi,MV,80.92,broken clouds,6.6221,73.07,Haajy Guest House 1
50,Daulatpur,PK,75.07,scattered clouds,26.5015,67.9706,Syed Tabish Saleem Home
52,Sola,VU,79.83,overcast clouds,-13.8833,167.55,Leumerus Bungalows
53,Port Macquarie,AU,78.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
57,Hithadhoo,MV,81.32,broken clouds,-0.6,73.0833,Scoop Guest House
70,Malanville,BJ,79.86,scattered clouds,11.8685,3.3899,Hotel Sejour du Sahel
72,Noumea,NC,80.58,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
74,Butaritari,KI,80.13,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
75,Kapaa,US,75.47,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
95,Poum,NC,77.29,broken clouds,-20.2333,164.0167,
96,Buala,SB,84.07,light rain,-8.145,159.5921,Maringe Lagoon Lodge
98,Labuhan,ID,78.94,moderate rain,-6.8844,112.2051,DoubleFAG
101,Kismayo,SO,77.05,few clouds,-0.3582,42.5454,Agan-Hotel
108,Cockburn Town,TC,81.52,few clouds,21.4612,-71.1419,Osprey Beach Hotel
115,Vaini,TO,77.18,light rain,-21.2,-175.2,Keleti Beach Resort
