City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kruisfontein,ZA,-34.0033,24.7314,60.89,60,21,14.32,few clouds
1,Padang,ID,-0.9492,100.3543,75.25,96,100,4.0,light rain
2,Goderich,CA,43.7501,-81.7165,40.91,88,100,13.35,light rain
3,Alyangula,AU,-13.8483,136.4192,85.41,67,7,7.67,clear sky
4,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,79.7,67,99,2.64,overcast clouds
5,Busselton,AU,-33.65,115.3333,56.48,60,86,11.18,overcast clouds
6,Albany,US,42.6001,-73.9662,52.36,74,64,1.99,broken clouds
7,Launceston,AU,-41.45,147.1667,51.44,92,100,12.66,moderate rain
8,Saint George,US,37.1041,-113.5841,61.43,24,0,5.01,clear sky
9,Punta Arenas,CL,-53.15,-70.9167,53.11,54,3,8.84,clear sky
10,Tasiilaq,GL,65.6145,-37.6368,35.76,78,100,29.39,light rain
11,Wajima,JP,37.4,136.9,64.78,70,77,15.17,broken clouds
12,Qaanaaq,GL,77.484,-69.3632,2.73,69,86,1.72,overcast clouds
13,Thompson,CA,55.7435,-97.8558,1.58,98,72,2.89,broken clouds
14,Road Town,VG,18.4167,-64.6167,80.69,89,40,8.05,scattered clouds
15,Pasni,PK,25.2631,63.471,79.25,64,0,8.72,clear sky
16,Tevriz,RU,57.509,72.4042,26.87,93,96,1.97,overcast clouds
17,Barrow,US,71.2906,-156.7887,8.62,92,100,4.61,overcast clouds
18,Jamestown,US,42.097,-79.2353,38.79,78,100,9.22,overcast clouds
19,Gazojak,TM,41.1875,61.4036,40.53,38,100,1.92,overcast clouds
20,Hambantota,LK,6.1241,81.1185,77.04,84,100,4.23,moderate rain
21,Hami,CN,42.8,93.45,30.49,58,9,1.81,clear sky
22,Banyo,CM,6.75,11.8167,69.67,51,91,2.75,overcast clouds
23,Portland,US,45.5234,-122.6762,54.77,57,20,3.44,few clouds
24,Cabo San Lucas,MX,22.8909,-109.9124,82.62,59,40,6.91,scattered clouds
25,Atuona,PF,-9.8,-139.0333,78.08,76,3,14.97,clear sky
26,Clarence Town,AU,-32.5833,151.7833,78.62,62,75,1.9,light rain
27,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,76,20,7.0,few clouds
28,Rikitea,PF,-23.1203,-134.9692,74.26,86,78,18.14,broken clouds
29,Nsunga,TZ,-1.1439,31.3947,61.72,91,99,2.28,overcast clouds
30,Ushuaia,AR,-54.8,-68.3,51.69,68,36,2.59,scattered clouds
31,Lavrentiya,RU,65.5833,-171.0,15.89,82,9,11.7,clear sky
32,Hobart,AU,-42.8794,147.3294,55.26,69,75,2.3,moderate rain
33,Olinda,BR,-8.0089,-34.8553,78.53,83,75,10.36,mist
34,Ostrovnoy,RU,68.0531,39.5131,35.1,83,100,26.28,light snow
35,New Norfolk,AU,-42.7826,147.0587,54.91,63,100,1.01,overcast clouds
36,Brae,GB,60.3964,-1.353,53.22,96,100,8.23,overcast clouds
37,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,85,75,4.61,broken clouds
38,Kyra,RU,49.5776,111.9753,10.71,86,37,3.74,scattered clouds
39,Kologriv,RU,58.8275,44.3178,40.55,96,100,15.23,overcast clouds
40,Binga,ZW,-17.6203,27.3414,73.11,79,100,3.4,light rain
41,Longyearbyen,SJ,78.2186,15.6401,30.04,74,40,12.66,scattered clouds
42,San-Pedro,CI,4.7485,-6.6363,77.72,86,73,5.53,broken clouds
43,Kulhudhuffushi,MV,6.6221,73.07,80.92,73,60,6.02,broken clouds
44,Adrar,MR,20.5022,-10.0711,72.81,13,7,9.82,clear sky
45,High Level,CA,58.5169,-117.136,18.54,94,16,2.51,few clouds
46,Pevek,RU,69.7008,170.3133,0.41,93,100,7.58,overcast clouds
47,Saldanha,ZA,-33.0117,17.9442,60.01,91,0,8.95,light rain
48,Bluff,NZ,-46.6,168.3333,50.94,90,100,16.49,overcast clouds
49,Saskylakh,RU,71.9167,114.0833,-17.37,99,99,7.72,overcast clouds
50,Daulatpur,PK,26.5015,67.9706,75.07,38,33,6.24,scattered clouds
51,Mount Gambier,AU,-37.8333,140.7667,64.31,88,100,11.5,overcast clouds
52,Sola,VU,-13.8833,167.55,79.83,79,100,4.72,overcast clouds
53,Port Macquarie,AU,-31.4333,152.9167,78.89,63,51,10.42,broken clouds
54,Dikson,RU,73.5069,80.5464,-9.49,100,97,5.41,overcast clouds
55,Nantucket,US,41.2835,-70.0995,64.51,89,40,10.36,mist
56,Seoul,KR,37.5683,126.9778,52.99,71,93,6.62,overcast clouds
57,Hithadhoo,MV,-0.6,73.0833,81.32,72,65,16.4,broken clouds
58,Mataura,NZ,-46.1927,168.8643,52.27,90,97,4.88,light rain
59,Evensk,RU,61.95,159.2333,14.68,93,100,6.42,overcast clouds
60,San Quintin,MX,30.4833,-115.95,64.96,49,9,12.15,clear sky
61,Lasa,IT,46.6166,10.7002,49.44,45,75,1.1,broken clouds
62,Cape Town,ZA,-33.9258,18.4232,62.89,88,1,3.0,clear sky
63,Ribeira Grande,PT,38.5167,-28.7,60.78,68,100,5.99,overcast clouds
64,Ornes,NO,66.8689,13.7078,44.06,91,100,8.59,overcast clouds
65,Bredasdorp,ZA,-34.5322,20.0403,60.98,81,2,11.03,clear sky
66,Erenhot,CN,43.6475,111.9767,25.68,64,1,10.31,clear sky
67,Arraial Do Cabo,BR,-22.9661,-42.0278,72.1,93,6,10.11,clear sky
68,Surt,LY,31.2089,16.5887,66.9,67,0,3.83,clear sky
69,Puerto Ayora,EC,-0.7393,-90.3518,70.56,84,33,8.01,scattered clouds
70,Malanville,BJ,11.8685,3.3899,79.86,29,43,5.48,scattered clouds
71,Kaitangata,NZ,-46.2817,169.8464,61.66,54,85,6.67,overcast clouds
72,Noumea,NC,-22.2763,166.4572,80.58,80,99,15.79,overcast clouds
73,Pankovka,RU,58.5,31.1999,47.52,69,27,18.12,scattered clouds
74,Butaritari,KI,3.0707,172.7902,80.13,74,100,14.63,overcast clouds
75,Kapaa,US,22.0752,-159.319,75.47,82,100,13.8,light rain
76,Khatanga,RU,71.9667,102.5,-23.06,98,98,8.32,overcast clouds
77,Yellowknife,CA,62.456,-114.3525,13.8,98,97,3.18,overcast clouds
78,Bambous Virieux,MU,-20.3428,57.7575,68.22,70,0,7.23,clear sky
79,Talaya,RU,61.3833,152.75,-23.78,98,97,0.83,overcast clouds
80,Norrtalje,SE,59.758,18.705,46.02,77,43,5.77,scattered clouds
81,Gazanjyk,TM,39.2446,55.5154,51.42,41,98,5.84,overcast clouds
82,Airai,TL,-8.9266,125.4092,67.06,80,70,2.26,broken clouds
83,Port Elizabeth,ZA,-33.918,25.5701,63.32,81,88,11.99,overcast clouds
84,Rio Gallegos,AR,-51.6226,-69.2181,51.85,46,20,11.5,few clouds
85,Severo-Kurilsk,RU,50.6789,156.125,35.19,63,99,16.51,overcast clouds
86,Quatre Cocos,MU,-20.2078,57.7625,68.09,70,0,8.03,clear sky
87,Chuy,UY,-33.6971,-53.4616,64.45,94,100,11.07,overcast clouds
88,Camacha,PT,33.0833,-16.3333,65.62,77,20,3.44,few clouds
89,Pestretsy,RU,55.7531,49.6545,48.34,75,100,26.8,overcast clouds
90,Hermanus,ZA,-34.4187,19.2345,61.81,86,1,12.06,light rain
91,Ilanskiy,RU,56.2358,96.065,28.78,76,79,7.76,broken clouds
92,San Cristobal,VE,7.7669,-72.225,67.71,98,100,0.2,overcast clouds
93,Upernavik,GL,72.7868,-56.1549,11.16,84,33,11.74,scattered clouds
94,Srednekolymsk,RU,67.45,153.6833,-24.41,99,81,7.87,broken clouds
95,Poum,NC,-20.2333,164.0167,77.29,78,56,19.42,broken clouds
96,Buala,SB,-8.145,159.5921,84.07,72,100,6.06,light rain
97,Iqaluit,CA,63.7506,-68.5145,7.7,71,100,8.01,overcast clouds
98,Labuhan,ID,-6.8844,112.2051,78.94,85,100,7.05,moderate rain
